Data:,,,,Planta 1,,,,,,,,,,Planta 2,,,,,,,,,,Planta 3,,,,,,,,,
Fazenda:,,,,G1 - flor,,Fruto,,,,,,,,G1 - flor,,Fruto,,,,,,,,G1 - flor,,Fruto,,,,,,,
TRAT.,PARC.,RAMO,NÓ,Gemas,Star,Verde,Parcial,Verm.,Passa,Secos,Total,RV,,Gemas,Star,Verde,Parcial,Verm.,Passa,Secos,Total,RV,,Gemas,Star,Verde,Parcial,Verm.,Passa,Secos,Total,RV,
T1,1,Dir.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Esq.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T2,2,Dir.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Esq.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T3,3,Dir.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Esq.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T4,4,Dir.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Esq.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T5,5,Dir.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Esq.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T6,6,Dir.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Esq.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1,7,Dir.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Esq.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T2,8,Dir.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Esq.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T3,9,Dir.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Esq.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T4,10,Dir.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Esq.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T5,11,Dir.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Esq.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T6,12,Dir.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Esq.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1,13,Dir.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Esq.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T2,14,Dir.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Esq.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T3,15,Dir.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Esq.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T4,16,Dir.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Esq.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T5,17,Dir.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Esq.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T6,18,Dir.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Esq.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1,19,Dir.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Esq.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T2,20,Dir.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Esq.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T3,21,Dir.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Esq.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T4,22,Dir.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Esq.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T5,23,Dir.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Esq.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T6,24,Dir.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Esq.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
